"<seg id=""57"">","If any of that made it into her voice, Chris didn’t seem to notice as she shrugged and said, “Just wanted to make sure you were okay.”",ellipsis,that=the thinking of i'm suprised youa re back at all,,
"<seg id=""58"">","Or if Chris had, she ignored it.","ellipsis
reference","had=noticed
it=the thinking of i'm suprised youa re back at all that made to carrie's voice",,
"<seg id=""59"">","Which was, if still not completely typical for them, not something that had come to be unusual in their post-Sue truce.","gender 
gender","them=feminine
their =feminine",,
"<seg id=""60"">",Covering over the little things that might cause tension between them; not reacting to every little thing as if it might be a mortal insult.,gender,them=feminine,,
"<seg id=""61"">",And it really wasn’t Chris’ fault that Carrie was feeling… prickly tonight.,gender,Chris' fault=feminine,,
"<seg id=""62"">","Not that she was really even feeling that anymore, a warm feeling flooding her chest at the surprisingly unguarded look of care on Chris’ face.",X,X,,
"<seg id=""63"">","“I’m fine,” Carrie said, smiling up at her, then got to her feet.",X,X,,
"<seg id=""64"">",“Just got a little much for me. ,lexical ambiguity,got a little much for me=get much of something (literal translation) vs got overwhelming for me,,
"<seg id=""65"">","All the crowd and attention, you know?”",X,X,,
"<seg id=""66"">","Chris pushed off the wall and sauntered closer, before hesitating and coming to a halt a few feet away.",lexical ambiguity,pushed off the wall=push the wall vs stopped leaning against the wall,,
"<seg id=""67"">",“Does it help?,X,X,,
"<seg id=""68"">",The praying?,X,X,,
"<seg id=""69"">",Do you think that your…” she waved in the air before pointing upwards.,X,X,,
"<seg id=""70"">",“Comes from up there?”,X,X,,
"<seg id=""71"">",Carrie pressed her lips together and searched Chris’ face for any hint of mockery.,X,X,,
"<seg id=""72"">","The situation between them had been a lot better since the knife murders, but she couldn’t help the instinctive worry.",gender,them=feminine,,
"<seg id=""73"">",But there seemed to be nothing there but honest curiosity.,X,X,,
"<seg id=""74"">",Carrie couldn’t help letting her eyes drift down a degree to focus on Chris’ lips.,X,X,,
"<seg id=""75"">",Her lipstick was barely smudged.,X,X,,
"<seg id=""76"">","Not that it meant anything, of course, but Carrie couldn’t help feeling a bit better anyway.",X,X,,
"<seg id=""77"">","Not that there was a reason for her to feel that way either, and even acknowledging that much made guilt twist in her stomach.",X,X,,
"<seg id=""78"">","Chris was Sue’s and whoever else she chose, but not Carrie’s, not in any way.",X,X,,
"<seg id=""79"">",And Carrie was Sue’s in any case.,X,X,,
"<seg id=""80"">","She had no right to feel anything about what Chris did, and she couldn’t let herself think otherwise.",X,X,,
"<seg id=""81"">","Realising that she’d just sat there staring for far too long, she flushed, doubtless ugly and blotchy, and did her best to remember what Chris had asked her.",lexical ambiguity,she flushed=she flushed the toilet vase vs she felt embarassed/she blushed,,
"<seg id=""82"">","“Talking to Him, confessing my sins, does make me feel better.",X,X,,
"<seg id=""83"">","And if He did create everything, then he also must have created me, and there has to be a reason for my powers.",X,X,,
"<seg id=""84"">","It… it helps me carry on, despite, y’know, things.”",X,X,,
"<seg id=""85"">","Things like how they had to continually keep on the move, keeping one eye over their shoulder just in case the government caught up with them again.","gender 
gender","them=feminine
they=feminine",,
"<seg id=""86"">","Chris scuffed the floor with one foot, looking down.",X,X,,
"<seg id=""87"">",“Would you mind if I joined you just this once?,X,X,,
"<seg id=""88"">",Just to try things out?”,X,X,,
"<seg id=""89"">","Carrie stared at her, but Chris didn’t seem to be mocking her.",X,X,,
"<seg id=""90"">","“Sure,” she said, taking her things out again and scuttling over to make room.",X,X,,
"<seg id=""91"">","As Chris knelt down next to her, she couldn’t help being acutely aware that this was what Sue had used to do with her, back before she left.",X,X,,
"<seg id=""92"">",Back in the days when it sometimes felt like stifled anger and jealousy might rise up and crush her sometimes.,X,X,,
"<seg id=""93"">",Back when Chris’ presence on their eternal road trip seemed like the bane of her life.,X,X,,
"<seg id=""94"">",It didn’t feel like that any more.,X,X,,
"<seg id=""95"">","She knelt in front of her bed and laced her fingers together, lowering her head.",lexical ambiguity,laced her fingers=strapped with a thread vs held together,,
"<seg id=""96"">","Out of the corner of her eyes, she saw Chris follow suit.",X,X,,
"<seg id=""97"">","Silently, she prayed that Chris find whatever peace she sought, asking the Lord to reach out to her and, well.",X,X,,
"<seg id=""98"">","She was sure that the Bible — or at least her mother — would have had things to say about the way that Chris lived her life, but she wasn’t hurting anyone these days and honestly tried her best to help people, and wasn’t that more important anyway?",X,X,,
"<seg id=""99"">",It seemed like it should be.,X,X,,
"<seg id=""100"">","She opened her eyes a few minutes later and looked at Chris, which seemed the signal Chris had been looking for to do the same.",X,X,,
"<seg id=""101"">",“Did it help?” Carrie asked.,reference,it=praying,,
"<seg id=""102"">",“I don’t know. ,X,X,,
"<seg id=""103"">",Maybe?”,X,X,,
"<seg id=""104"">",She hesitated for a moment.,X,X,,
"<seg id=""105"">","“Not sure it’s my kind of thing in general, but I don’t think it hurt.",lexical ambiguity,hurt= bruise vs damage mentally,,
"<seg id=""106"">",This time at least.”,X,X,,
"<seg id=""107"">",She rolled easily to her feet and offered Carrie a hand.,X,X,,
"<seg id=""108"">","“Thanks, I guess.”",gender,thank you=feminine,,
"<seg id=""109"">","Carrie took her hand and pulled herself up, a strange humming energy under her skin as she did so.",X,X,,
"<seg id=""110"">","This had been something she’d only shared with Sue before, and she’d never been quite certain how much Sue was humouring her the times when she’d joined her.",X,X,,
"<seg id=""111"">","Not that she thought Sue would lie to her, but… she’d been afraid to ask, to prod further, in case she got an answer she didn’t like.",X,X,,
"<seg id=""112"">","This, with Chris… well, she couldn’t pretend that it was anything other than what it was:",X,X,,
"<seg id=""113"">",Chris trying on faith to see if it fit.,lexical ambiguity,trying on faith=try and fail vs experiment,,
"<seg id=""114"">",But she also couldn’t say it was anything other than completely honest.,X,X,,
"<seg id=""115"">","“Thanks,” she said, a warm sticky gratitude welling up inside her.",,,,
"<seg id=""116"">","It really shouldn’t affect her as much as it did, but…",X,X,,
"<seg id=""117"">","“No problem,” Chris drawled, a half smile on her lips that seemed too real for Chris’ usual studied cynicism, her eyes dark and knowing this close.",X,X,,
"<seg id=""118"">","Near enough that Carrie could feel the breath wash against her face, could smell the beer on it, something that shouldn’t be enticing, but…",X,X,,
"<seg id=""119"">","She had the sudden impulse to tilt forwards and kiss Chris, to muss that lipstick, smear it over her face.",X,X,,
"<seg id=""120"">",To do the things that she’d been worried Chris would do at the bar.,X,X,,
"<seg id=""121"">","She couldn’t be there any longer, she shouldn’t.",X,X,,
"<seg id=""122"">",Jesus would be so disappointed in her.,X,X,,
"<seg id=""123"">","She ducked down again, away from Chris, gathering up her crosses and holy objects and starting to stow them away.",lexical ambiguity,stow=ide vs store,,
"<seg id=""124"">","She dawdled while packing them away until she heard Chris move away, and she wasn’t sure whether or not she was disappointed by that.",X,X,,
"<seg id=""125"">","She wasn’t, she told herself fiercely.","ellipsis
lexical ambiguiy","wasn't=she was not disappointed
was=inherent vs transitory",,
"<seg id=""126"">",She wasn’t disappointed at all.,X,X,,
"<seg id=""127"">","Still, sleep took a long time to arrive that night and Sue seemed further away than ever.",X,X,,
"<seg id=""128"">",“It still seems a little unreal having each day be so much like the last.,X,X,,
"<seg id=""129"">","Well, apart from my days off and I always seem to have more than enough to do then as well.”",X,X,,
"<seg id=""130"">","Sue’s voice crackles electronically, the hum of countless miles making it hard to pretend that she’s there with Carrie, even with eyes screwed shut and Carrie doing her best to send her imagination into overdrive.",X,X,,
"<seg id=""131"">","These weekly calls always made her feel a little melancholy, though she’d never mention that.",X,X,,
"<seg id=""132"">",Certainly not to Sue.,X,X,,
"<seg id=""133"">",“But you’re doing better now?,lexical ambiguity,doing better=make better vs get along better,,
"<seg id=""134"">",Sleeping the night through?”,X,X,,
"<seg id=""135"">","Sue sighed, though it sounded fond.",X,X,,
"<seg id=""136"">",Carrie hoped.,X,X,,
"<seg id=""137"">",“You don’t need to worry about me so much.”,X,X,,
"<seg id=""138"">","I really do, was Carrie’s first thought.","ellipsis
lexical ambiguity","do=worry about Sue
do = make vs worry",,
"<seg id=""139"">",You’re half my world.,X,X,,
"<seg id=""140"">","But that was a bad thought, part of why Sue had left them behind.",gender,them=feminine,,
"<seg id=""141"">",Carrie had put so much on her that she’d needed to get away.,lexical ambiguity,put so much on her=bet on vs smother/burden,,
"<seg id=""142"">","It made Carrie worry if she had learned too well from Momma that way, making someone so much the centre of her world that they could suffocate from the weight of it, the way she’d sometimes felt about Momma.",X,X,,
"<seg id=""143"">","“I’ll try not to,” she replied lamely, worrying that she was doing something bad again.",ellipsis,try no to=try not to worry about Sue,,
"<seg id=""144"">","It was such a balancing act, trying to avoid the pitfalls that everyone else seemed to navigate so easily.",X,X,,
"<seg id=""145"">",She tried to ignore the part of her that wanted to blame Chris and Sue both for the fact that she hadn’t had the chance to learn growing up.,X,X,,
"<seg id=""146"">","That was all in the past, and there was no point hanging onto it, however hard it seemed to be to let go at times;",reference,it=blame Chris and Sue,,
"<seg id=""147"">",however often it seemed to sneak right back into her pockets when she wasn’t looking.,X,X,,
"<seg id=""148"">","“I don’t mind, really,”",X,X,,
"<seg id=""149"">",Sue was saying.,X,X,,
"<seg id=""150"">","“I might have made some friends here, but none like you or Chris.”",X,X,,
"<seg id=""151"">",Friends.,X,X,,
"<seg id=""152"">","A new life, one separate from Carrie, one that seemed more and more permanent with every passing week.",X,X,,
"<seg id=""153"">","Of course it’d be so easy for Sue, who’d never had to struggle to be accepted.",X,X,,
"<seg id=""154"">","But no, it wasn’t fair to think like that.",X,X,,
"<seg id=""155"">","Sue deserved the best, even — especially — if that was apart from Carrie.",X,X,,
"<seg id=""156"">","“Do you think you’re any closer to figuring things out?” she asked anyway, because she couldn’t not.",X,X,,
"<seg id=""157"">","Sue sighed, a harsh crackle over the phone, then was silent for what felt like forever.",X,X,,
"<seg id=""158"">","“I don’t know, Carrie, I really don’t know.",X,X,,
"<seg id=""159"">","I… when I was with the two of you, there just wasn’t any space to think about what I needed.",gender,two of you=feminine,,
"<seg id=""160"">","I’m not saying it was either of your faults, but if it wasn’t Chris sulking or snapping at you, then it was you being too quiet or yelling at her.”","gender
gender
gender","sulking=feminine
snapping=feminine
quiet=feminine",,
"<seg id=""161"">","A sharp pang went through her at the thought of causing Sue pain, and she covered the bottom of the phone just in case any stray snuffles made their way out.",X,X,,
"<seg id=""162"">","It wasn’t as though she could deny what they’d put Sue through, and she hardly needed to lay any more on Sue’s shoulders.",gender,they=feminine,,
"<seg id=""163"">","“We’re better now,” she said quietly when she had control of her voice again.",X,X,,
"<seg id=""164"">","“And I’m glad to hear that, truly I am, but…” ",gender,glad=feminine,,
"<seg id=""165"">",She trailed off again.,X,X,,
"<seg id=""166"">","“So, how is Chris, anyway?”",X,X,,
"<seg id=""167"">",Chris.,X,X,,
"<seg id=""168"">",That was another weighty thought that Carrie was trying to avoid.,X,X,,
"<seg id=""169"">","Ever since that night when Chris had joined her for prayer, it seemed even odds as to whether Carrie would flush when looking at her, or stumble over her words for no good reason.",lexical ambiguity,flush= flush a toilet vs blush,,
"<seg id=""170"">","It wasn’t like there hadn’t been… moments before, but nothing like this.",X,X,,
"<seg id=""171"">",Nothing that she couldn’t ignore.,X,X,,
"<seg id=""172"">","She hadn’t done anything wrong, she hadn’t, but she knew, even if no one else did, that the sin of envy, of lust, had taken root in her soul.",X,X,,
"<seg id=""173"">",No matter how much she prayed for it to be lifted from her.,"reference
lexical ambiguity","it=sin of envy and lust 
lifted from=move upwards vs removed from",,
"<seg id=""174"">","Luckily, Chris hadn’t so much as commented on her new skittishness, for which Carrie was profoundly grateful, though she didn’t know how much longer it could last.",X,X,,
"<seg id=""175"">","And the guilt lay heavily upon her, her constant bed companion at night.",X,X,,
"<seg id=""176"">","Sue deserved to know, she decided wretchedly, despite having promised herself at least a dozen times beforehand that she would keep as far away from the topic as possible, that she didn’t need to burden Sue with this… nonsense running through her head.",X,X,,
"<seg id=""177"">",But she did.,"ellipsis
lexical ambiguity","did=burden Sue
did = make vs burden",,
"<seg id=""178"">","She really, really did.","ellipsis
lexical ambiguity","did=burden Sue
did = make vs burden",,
"<seg id=""179"">","“I almost kissed Chris a few days ago,” she admitted miserably.",X,X,,
"<seg id=""180"">","“Oh,” Sue said.",X,X,,
"<seg id=""181"">","Carrie couldn’t see her, couldn’t feel her to see how she was reacting, but her stomach lurched in the following pause, fearing the worst.",X,X,,
"<seg id=""182"">",“That’s…” Sue finally said. ,X,X,,
"<seg id=""183"">","“I thought something might be wrong, but I didn’t think…",X,X,,
"<seg id=""184"">","You and Chris are free to do what you want, of course.”",X,X,,
"<seg id=""185"">",She didn’t really sound like she meant it though.,X,X,,
"<seg id=""186"">",“I didn’t actually do anything. ,X,X,,
"<seg id=""187"">",And Chris… I don’t think she’s interested in me like that.,,,,
"<seg id=""188"">",It’s just… I’d have felt bad if I didn’t tell you.,X,X,,
"<seg id=""189"">","I’m sorry if I hurt you, or I did something wrong.",X,X,,
"<seg id=""190"">",I didn’t mean to!”,ellipsis,to=to hurt you or do something wrong,,
"<seg id=""191"">",Carrie heard the pitch of her voice rise almost like it was happening to someone else as the gnawing inside her stomach spread to her chest; a fluttering panicking thing.,X,X,,
"<seg id=""192"">",Sue’s tone switched immediately to something rhythmic and calming.,X,X,,
"<seg id=""193"">","“Of course you didn’t do anything wrong, Carrie.",X,X,,
"<seg id=""194"">","Listen to me, you didn’t do anything wrong.”",X,X,,
"<seg id=""195"">","Gulping a bit, Carrie let Sue’s voice soothe her.",X,X,,
"<seg id=""196"">","“Thank you, Sue.",gender,thank you=feminine,,
"<seg id=""197"">","I’m sorry, I didn’t mean to put that on you,” she tried, even as she wasn’t sure how convincing she was.",lexical ambiguity,put that on you= to place that on you vs to burden you with that,,
"<seg id=""198"">",As convincing as she felt she should be.,X,X,,
"<seg id=""199"">","After all, wasn’t having this kind of load put on her why she had left in the first place?","lexical ambiguity
lexical ambiguity","load= cargo vs burden
put on= to place that on her vs to burden her",,
"<seg id=""200"">","“It’s… I know this is difficult for you, Carrie.",X,X,,
"<seg id=""201"">",And I’m glad you told me.,gender,glad=feminine,,
"<seg id=""202"">","Even if nothing happened, not yet at least.",X,X,,
"<seg id=""203"">",It’s… I’m glad you’re getting on with her.”,gender,glad=feminine,,
"<seg id=""204"">","But despite Sue’s words, she rang off quickly after that, letting the quarters Carrie had fed into the payphone clatter into the receptacle.",X,X,,
"<seg id=""205"">",Carrie wondered if she’d pick up next week at all.,lexical ambiguity,pick up=lift vs answer,,
</doc>,,,,,
,,,,,
<doc,https://www.plot-generator.org.uk/ >,,,,
"<seg id=""1"">",The Deal,X,X,,
"<seg id=""2"">",Written by The Researcher,X,X,,
"<seg id=""3"">",Mary Jane looked at the peculiar bank through the window and felt a bit anxious. ,lexical ambiguity,bank=bank of  a river vs finacial institution,,
"<seg id=""4"">",She had just come from there and decided to grab a coffee while she waited.,X,X,,
"<seg id=""5"">",She got distracted with her buzzing surroundings while trying to read a paper.,lexical ambiguity,paper=newspaper/paper vs research paper,,
"<seg id=""6"">","She had always loved New York with its buzzing vibe, and old, beautiful buildings, but now the Big Apple had become a place that increased her anxiety.",X,X,,
"<seg id=""7"">",She thought about ordering another coffee to try and read the paper again but decided that double caffeine would do her no good.,X,X,,
"<seg id=""8"">",Then she saw a familiar figure walking towards the coffee shop.,X,X,,
"<seg id=""9"">",It was the figure of Taylor.,reference,it = familiar figure,,
"<seg id=""10"">",Taylor was a snooty city councilperson with long legs and arms. ,"gender
gender","snooty=feminine
councilperson=feminine",,
"<seg id=""11"">","""Taylor had become the chair of the council so quickly."" - Mary thought.",gender,chair=feminine,,
"<seg id=""12"">",Mary gulped.,X,X,,
"<seg id=""13"">",Taylor did not look very happy.,gender,happy=feminine,,
"<seg id=""14"">",And that peeved face just made Taylor look even more elegant.,gender,elegant=feminine,,
"<seg id=""15"">",“Always carrying a nice designer bag --,X,X,,
"<seg id=""16"">",and a cigarette between her lips” Mary thought.,X,X,,
"<seg id=""17"">",Taylor was carrying what looked like to be a wrapped package.,X,X,,
"<seg id=""18"">","Probably a new case for her, Mary was sure of it.",lexical ambiguity,case=process/bag/purse vs phone case,,
"<seg id=""19"">",Mary glanced at her own reflection.,X,X,,
"<seg id=""20"">","She was not as elegant as Taylor, but she was a friendly person. ",X,X,,
"<seg id=""21"">",Friendly but with a strong will.,gender,fiendly=feminine,,
"<seg id=""22"">","Her friends saw her as a colorful, funny businessperson.",X,X,,
"<seg id=""23"">",But she didn't think much of it.,"lexical ambiguity
reference","think much of =think about the subject much vs to have a low opinion about it
it=being colourful, funny business person. ",,
"<seg id=""24"">",She wasn't into bussiness.,X,X,,
"<seg id=""25"">",She was a researcher.,X,X,,
"<seg id=""26"">",Her research group has been growing and she was the head of it.,lexical ambiguity,head=body part vs leader,,
"<seg id=""27"">","At times, she wasn't sure about being the head of the group.",X,X,,
"<seg id=""28"">","""For sure I don't have a big one on me?"" - she thought.",lexical ambiguity,to have a big one (head) on her=to have a big head vs to be arrogant,,
"<seg id=""29"">",But not even a strong willed person like her was prepared for what Taylor had in store today.,lexical ambiguity,had in store=to have in a physical store vs reserved,,
"<seg id=""30"">","As Mary stepped outside and Taylor came closer, she could see the wet glint in her eye. ",X,X,,
"<seg id=""31"">",Mary was appreshensive of what was coming.,X,X,,
"<seg id=""32"">",She felt anxious again. ,X,X,,
"<seg id=""33"">","""Hello Mary,"" said Taylor with a charming glare that reminded Mary of an elegant giraffe.",X,X,,
"<seg id=""34"">","“Hi Taylor”, Mary said, noting that Taylor’s cigarette was unlit.",X,X,,
"<seg id=""35"">","""Look, I know it has been tough for you, but I am starting to get a little bit nervous. ",gender,nervous=feminine,,
"<seg id=""36"">","Where’s the money?""",X,X,,
"<seg id=""37"">",Mary looked down to the paper she had been working on for the past few weeks. ,lexical ambiguity,paper=newspaper/paper vs research paper,,
"<seg id=""38"">","“I’m a researcher, not a politician.” - she thought.",X,X,,
"<seg id=""39"">",It was time to stop lying to Taylor.,X,X,,
"<seg id=""40"">","""Taylor, I went to the bank this morning..."" she started.",lexical ambiguity,bank=bank of a river vs finacial institution,,
"<seg id=""41"">","""But I… I don't have all the funds ..."" she said.",X,X,,
"<seg id=""42"">",Taylor glared.,X,X,,
"<seg id=""43"">","""Why am I not surprised?"" ",gender,surprised=feminine,,
"<seg id=""44"">",Mary lowered her head.,X,X,,
"<seg id=""45"">",Both were in silence for what seemed to be an eternity for Mary.,gender,both=feminine,,
"<seg id=""46"">",Taylor opened the bag. ,lexical ambiguity,bag=pack vs women's purse,,
"<seg id=""47"">",She was looking for a match.,lexical ambiguity,match=pairing couple vs  matchstick ,,
"<seg id=""48"">","“Mary, you can’t keep doing this” - said Taylor in a softer voice.",X,X,,
"<seg id=""49"">",Mary regarded Taylor's long arms and brown hair.,lexical ambiguity,regarded=considered vs looked at,,
"<seg id=""50"">","""How could Taylor be so tall?"" - she thought. ",gender,tall=feminine,,
"<seg id=""51"">","""Give me more time, Taylor""",X,X,,
"<seg id=""52"">","""What about your group?"" - said Taylor while lighting up her cigarette.",X,X,,
"<seg id=""53"">","""I can't take money from the funding!""",X,X,,
"<seg id=""54"">","""Why not? ",X,X,,
"<seg id=""55"">","Aren’t you the head of it!"" - Taylor was starting to getting upset again","lexical ambiguity
reference
gender","head=body part vs leader
it=research group
upset= feminine",,
"<seg id=""56"">",Mary reached into her pocket.,X,X,,
"<seg id=""57"">","""Here's all I have for now..."" - said Mary while handing her a few quids.",X,X,,
"<seg id=""58"">",Taylor looked worried.,gender,worried=feminine,,
"<seg id=""59"">","""I don't know how much more I can buy, Mary…”","ellipsis
lexical ambiguity","more=time I can buy
time I can buy=purchase time with money vs delay an event temporarily so as to have longer to improve one's own position",,
"<seg id=""60"">","""Whatever you can..."" - said Mary",X,X,,
"<seg id=""61"">",“We'll figure it out…”,X,X,,
"<seg id=""62"">",Taylor let out a long sigh.,X,X,,
"<seg id=""63"">","""Happy birthday, Mary"" - said Taylot while giving her the present.",X,X,,
"<seg id=""64"">",“Thanks...” - said Mary almost in a whisper -,X,X,,
"<seg id=""65"">",“And thanks for the phone case.,X,X,,
"<seg id=""66"">",I knew you'd remember I needed a new one. ,"ellipsis
gender
gender","one=case
new=feminine
one=feminine",,
"<seg id=""67"">",It’s very nice indeed”.,"reference
gender
gender","it = the case
it= feminine
nice = feminine",,
"<seg id=""68"">",“How do you know it is a case?”,lexical ambiguity,case=process/bag/purse vs phone case,,
"<seg id=""69"">","""You keep complaining my phone is caseless"" - said Mary",X,X,,
"<seg id=""70"">",They looked at each other and smiled. ,"gender
gender","they = feminine
each other = feminine",,
"<seg id=""71"">",They have been friends for so long. ,"gender
gender","they = feminine
friends = feminine",,
"<seg id=""72"">",Taylor started to walk away leaving Mary lost in thought with her new case.,lexical ambiguity,case=process/bag/purse vs phone case,,
"<seg id=""73"">",Taylor was trying to be fair. ,gender,fair = feminine,,
"<seg id=""74"">",Mary knew that.,X,X,,
"<seg id=""75"">",But she could not hold the city council forever. ,lexical ambiguity,hold the council=maintain vs delay,,
"<seg id=""76"">",And Mary knew that too.,X,X,,
</doc>,,,,,
,,,,,
<doc,https://www.gutenberg.org/files/485/485-h/485-h.htm#chap03 >,,,,
"<seg id=""1"">",The Road to Oz,X,X,,
"<seg id=""2"">",3. A Queer Village,lexical ambiguity,queer village=a village full of gays vs a weird village,,
"<seg id=""3"">","Button-Bright took the shaggy man's hand willingly; for the shaggy man had the Love Magnet, you know, which was the reason Button-Bright had loved him at once.   ",X,X,,
"<seg id=""4"">","They started on, with Dorothy on one side, and Toto on the other, the little party trudging along more cheerfully than you might have supposed.",lexical ambiguity,party=group of people vs celebration,,
"<seg id=""5"">","The girl was getting used to queer adventures, which interested her very much.",lexical ambiguity,queer adventures=gay adventures vs strange sdventures,,
"<seg id=""6"">","Wherever Dorothy went Toto was sure to go, like Mary's little lamb.",X,X,,
"<seg id=""7"">","Button-Bright didn't seem a bit afraid or worried because he was lost, and the shaggy man had no home, perhaps, and was as happy in one place as in another.",X,X,,
"<seg id=""8"">","Before long they saw ahead of them a fine big arch spanning the road, and when they came nearer they found that the arch was beautifully carved and decorated with rich colors.  ",X,X,,
"<seg id=""9"">","A row of peacocks with spread tails ran along the top of it, and all the feathers were gorgeously painted.",X,X,,
